distance from coast,water type,site,reference,d18O,dD,elevation (m),elevation (km),township and range,latitude,longitude,notes
1,rain,Traverse II,Ingraham and Taylor (1991),,-32,12,0.012,T18N/R17W/7,39.438071,-123.798187,
1,rain,Traverse II,Ingraham and Taylor (1991),-8.7,-60,12,0.012,T18N/R17W/7,39.438071,-123.798187,
1,rain,Traverse II,Ingraham and Taylor (1991),-7,-53,12,0.012,T18N/R17W/7,39.438071,-123.798187,
1,rain,Traverse II,Ingraham and Taylor (1991),-8.1,-72,12,0.012,T18N/R17W/7,39.438071,-123.798187,
35,rain,Traverse II,Ingraham and Taylor (1991),-7.1,-47,621,0.621,T16N/R13W/28,39.2147264,-123.3080106,
35,rain,Traverse II,Ingraham and Taylor (1991),-11.2,-76,621,0.621,T16N/R13W/28,39.2147264,-123.3080106,
35,rain,Traverse II,Ingraham and Taylor (1991),-10,-69,621,0.621,T16N/R13W/28,39.2147264,-123.3080106,
72,rain,Traverse II,Ingraham and Taylor (1991),-11.8,-75,588,0.588,T15N/R9W/17,39.149881,-122.8829279,
72,rain,Traverse II,Ingraham and Taylor (1991),-11.3,-82,588,0.588,T15N/R9W/17,39.149881,-122.8829279,
72,rain,Traverse II,Ingraham and Taylor (1991),-10.8,-73,588,0.588,T15N/R9W/17,39.149881,-122.8829279,
85,rain,Traverse II,Ingraham and Taylor (1991),-12.7,-89,775,0.775,T15N/R8W/9,39.1658142,-122.7476654,
85,rain,Traverse II,Ingraham and Taylor (1991),-12.7,-83,775,0.775,T15N/R8W/9,39.1658142,-122.7476654,
96,rain,Traverse II,Ingraham and Taylor (1991),-11.4,-80,639,0.639,T15N/R6W/11,39.1626572,-122.4940916,
96,rain,Traverse II,Ingraham and Taylor (1991),-12,-100,639,0.639,T15N/R6W/11,39.1626572,-122.4940916,
96,rain,Traverse II,Ingraham and Taylor (1991),-11.2,-78,639,0.639,T15N/R6W/11,39.1626572,-122.4940916,
107,rain,Traverse II,Ingraham and Taylor (1991),-10,-53,67,0.067,T15N/R5W/25,39.1194257,-122.3632989,
107,rain,Traverse II,Ingraham and Taylor (1991),-12.7,-78,67,0.067,T15N/R5W/25,39.1194257,-122.3632989,
112,rain,Traverse II,Ingraham and Taylor (1991),-10.2,-57,57,0.057,T15N/R5W/3,39.1797052,-122.4010029,
112,rain,Traverse II,Ingraham and Taylor (1991),-11.6,-76,57,0.057,T15N/R5W/3,39.1797052,-122.4010029,
112,rain,Traverse II,Ingraham and Taylor (1991),-13.4,,57,0.057,T15N/R5W/3,39.1797052,-122.4010029,
112,rain,Traverse II,Ingraham and Taylor (1991),-12,-81,57,0.057,T15N/R5W/3,39.1797052,-122.4010029,
120,rain,Traverse II,Ingraham and Taylor (1991),-9.8,-57,193,0.193,T15N/R4W/18,39.1487951,-122.3451995,
120,rain,Traverse II,Ingraham and Taylor (1991),-11.2,-80,193,0.193,T15N/R4W/18,39.1487951,-122.3451995,
120,rain,Traverse II,Ingraham and Taylor (1991),,-89,193,0.193,T15N/R4W/18,39.1487951,-122.3451995,
127,rain,Traverse II,Ingraham and Taylor (1991),-9.7,-65,42,0.042,T15N/R3W/18,39.153227,-122.2350358,
127,rain,Traverse II,Ingraham and Taylor (1991),-10.2,-70,42,0.042,T15N/R3W/18,39.153227,-122.2350358,
127,rain,Traverse II,Ingraham and Taylor (1991),-11.4,-83,42,0.042,T15N/R3W/18,39.153227,-122.2350358,
127,rain,Traverse II,Ingraham and Taylor (1991),-9,-54,42,0.042,T15N/R3W/18,39.153227,-122.2350358,
150,rain,Traverse II,Ingraham and Taylor (1991),-10.6,-62,14,0.014,T16N/R2W/35,39.201056,-122.050667,
150,rain,Traverse II,Ingraham and Taylor (1991),-9.4,-65,14,0.014,T16N/R2W/35,39.201056,-122.050667,
170,rain,Traverse II,Ingraham and Taylor (1991),,-55,14,0.014,T15N/R1W/13,39.1529957,-121.9170649,
170,rain,Traverse II,Ingraham and Taylor (1991),-9.5,-67,14,0.014,T15N/R1W/13,39.1529957,-121.9170649,
170,rain,Traverse II,Ingraham and Taylor (1991),-9.3,-62,14,0.014,T15N/R1W/13,39.1529957,-121.9170649,
188,rain,Traverse II,Ingraham and Taylor (1991),-10.6,-69,18,0.018,T15N/R4E/18,39.150222,-121.566944,
188,rain,Traverse II,Ingraham and Taylor (1991),-10.2,-75,18,0.018,T15N/R4E/18,39.150222,-121.566944,
188,rain,Traverse II,Ingraham and Taylor (1991),-9.3,-55,18,0.018,T15N/R4E/18,39.150222,-121.566944,
200,rain,Traverse II,Ingraham and Taylor (1991),-11.3,-72,178,0.178,T16N/R5E/16,39.2435406,-121.4176373,
200,rain,Traverse II,Ingraham and Taylor (1991),-9.3,-70,178,0.178,T16N/R5E/16,39.2435406,-121.4176373,
200,rain,Traverse II,Ingraham and Taylor (1991),-12.6,-69,178,0.178,T16N/R5E/16,39.2435406,-121.4176373,
200,rain,Traverse II,Ingraham and Taylor (1991),-10.1,-58,178,0.178,T16N/R5E/16,39.2435406,-121.4176373,
210,rain,Traverse II,Ingraham and Taylor (1991),,-77,211,0.211,T16N/R6E/33,39.2010703,-121.3056448,
210,rain,Traverse II,Ingraham and Taylor (1991),-10.2,-79,211,0.211,T16N/R6E/33,39.2010703,-121.3056448,
210,rain,Traverse II,Ingraham and Taylor (1991),-11.9,-81,211,0.211,T16N/R6E/33,39.2010703,-121.3056448,
210,rain,Traverse II,Ingraham and Taylor (1991),-11,-73,211,0.211,T16N/R6E/33,39.2010703,-121.3056448,
221,rain,Traverse II,Ingraham and Taylor (1991),-11.2,-79,345,0.345,T16N/R7E/19,39.2304591,-121.2319153,
221,rain,Traverse II,Ingraham and Taylor (1991),-12,-76,345,0.345,T16N/R7E/19,39.2304591,-121.2319153,
